,applicant,value
0,francis_bacon,0.2425873561354025
1,isaiah_berlin,0.2354171774317259
2,zeno,0.23057031030043984
3,fh_bradley,0.22859352667233826
4,parmenides,0.22479304910112266
5,protagoras,0.22216407243982672
6,homer,0.2158087059883181
7,elea,0.21500331503551293
8,john_bambrough,0.20504968918988986
9,thomas_browne,0.20481267908110695
10,john_broome,0.20267221032203758
11,rb_braithwaite,0.20117390364544582
12,david_bell,0.19091325332398743
13,theodorus,0.1881477511752982
14,mary_boole,0.18409524185913412
15,roger_bacon,0.17900943599642744
16,socrates,0.1749463243193803
17,julian_baggini,0.17180320613787203
18,thomas_baldwin,0.1598138659222441
19,ray_brassier,0.159371327132151
20,cyrene,0.15496660215838148
21,gorgias,0.14918993414781806
22,pythagoras,0.146455653040707
23,cd_broad,0.12736570220341767
24,john_wycliffe,0.10748827477439588
25,george_boole,0.07976004655157228
26,heraclitus,0.052042015719712474
27,piers_benn,0.051010323967677254
28,alexander_bain,0.03899711410231032
29,simon_blackburn,0.032552964517930195
30,hesiod,0.031744459982540746
31,george_berkeley,0.005396129249635331
